Stadt,Jahr,Vegetationsindex NE,Vegetationsindex NW,Vegetationsindex SE,Vegetationsindex SW,Niederschlag [mm],Lufttemperatur [K],Temperatur [K],Taupunkttemperatur [K],Maximum Temperatur [K],Minimum Temperatur [K],Niederschlag [kg/m*m],Relative Luftfeuchtigkeit [%],Spezifische Luftfeuchtigkeit [g/kg],Temperatur [°C],Maximum Temperatur [°C],Minimum Temperatur [°C],Dengue Fälle
sj,1990-04-30,0.12,0.1,0.2,0.18,12.42,297.57,297.74,292.41,299.8,295.9,32.0,73.37,14.01,25.44,29.4,20.0,4
sj,1990-05-07,0.17,0.14,0.16,0.16,22.82,298.21,298.44,293.95,300.9,296.4,17.94,77.37,15.37,26.71,31.7,22.2,5
sj,1990-05-14,0.03,0.17,0.16,0.17,34.54,298.78,298.88,295.43,300.5,297.3,26.1,82.05,16.85,26.71,32.2,22.8,4
sj,1990-05-21,0.13,0.25,0.23,0.24,15.36,298.99,299.23,295.31,301.4,297.0,13.9,80.34,16.67,27.47,33.3,23.3,3
sj,1990-05-28,0.2,0.26,0.25,0.25,7.52,299.52,299.66,295.82,301.9,297.5,12.2,80.46,17.21,28.94,35.0,23.9,6
sj,1990-06-04,0.14218700475435816,0.17,0.25,0.18,9.58,299.63,299.76,295.85,302.4,298.1,26.49,79.89,17.21,28.11,34.4,23.9,2
sj,1990-06-11,0.11,0.09,0.21,0.21,3.48,299.21,299.22,295.87,301.3,297.7,38.6,82.0,17.23,27.41,32.2,23.3,4
sj,1990-06-18,0.07,0.07,0.15,0.13,151.12,299.59,299.53,296.53,300.6,298.4,30.0,83.38,17.98,28.37,33.9,22.8,5
sj,1990-06-25,0.1,0.15,0.13,0.12,19.32,299.58,299.56,296.38,302.1,297.7,37.51,82.77,17.79,28.33,33.9,22.8,10
sj,1990-07-02,0.14218700475435816,0.12,0.16,0.2,14.41,300.15,300.28,296.65,302.3,298.7,28.4,81.28,18.07,28.33,33.9,24.4,6
